pathway	external_id	source	hgnc_symbol_ids
FGF signaling pathway	fgf_pathway	PID	"CTTN,FRS2,PLAUR,GAB1,MAPK14,AKT1,PLCG1,PTPN11,CTNND1,NCAM1,STAT3,STAT1,MET,PIK3CA,PSEN1,JUN,FGF2,MAPK3,FGF19,MAPK1,PIK3R1,CDH1,DUSP6,SRC,SHC1,KLB,FOS,CAMK2A,PLAU,BGLAP,SSH1,HGF,FGFR4,FGF4,FGFR2,FGFR3,FGF1,FGFR1,RPS6KA1,CDH2,SOS1,SPRY2,SDC2,SDC4,PTK2B,CBL,KL,RUNX2,STAT5B,GRB2,SPP1,MMP9,PAK4,PDPK1,IL17RD,FGF23"
Synthesis of Leukotrienes (LT) and Eoxins (EX)	R-HSA-2142691	Reactome	"CYP4B1,CYP4F8,ALOX15,ALOX5AP,LTA4H,CYP4F2,CYP4F3,MAPKAPK2,DPEP2,DPEP3,CYP4F11,DPEP1,LTC4S,CYP4A22,GGTLC2,ALOX5,PTGR1,GGT2,GGT1,GGT5,CYP4F22,CYP4A11,ABCC1"
proline biosynthesis	PROSYN-PWY	HumanCyc	"PYCR2,ALDH18A1,PYCRL,PYCR1,MIR6741"
Signaling events mediated by VEGFR1 and VEGFR2	vegfr1_2_pathway	PID	"PTK2,IQGAP1,NEDD4,ITGB3,MAP2K1,GAB1,CTNNB1,AKT1,PLCG1,FBXW11,MAP2K3,ITGAV,DNM2,RAF1,MAPKAPK2,FLT1,CALM2,CALM3,CALM1,PIK3CA,ARF1,FYN,MYOF,HSP90AB1,MAPK3,PTK2B,MAPK1,MAPK11,PXN,PIK3R1,SHB,CAV1,CDH5,KDR,SRC,MIR3620,NOS3,PRKCA,CTNNA1,PRKCB,VCL,HGS,PRKCD,SH2D2A,VEGFA,FES,HSP90AA1,PTPN2,RHOA,VTN,PTPN6,AKAP1,MAPK14,NCK1,NCK2,MAP2K2,MAP2K6,GRB10,PTPN11,ROCK1,CBL,CAMKK2,GRB2,PRKACA,BRAF,PDPK1,PTPRJ,PAK2,CDC42"
Anchoring fibril formation	R-HSA-2214320	Reactome	"TLL1,TLL2,LAMA3,COL7A1,BMP1,MIR711,LAMC2,LAMB3,MIR4260"
Erythrocytes take up oxygen and release carbon dioxide	R-HSA-1247673	Reactome	"AQP1,CA2,CA1,CA4,HBA1,RHAG,SLC4A1,HBB,HBA2"
Lysosomal oligosaccharide catabolism	R-HSA-8853383	Reactome	"MAN2C1,MIR631,MAN2B2,MANBA,MAN2B1"
Metabolism of carbohydrates	R-HSA-71387	Reactome	"PCK2,AAAS,AGL,MAN2B2,LYVE1,MAN2B1,GNPDA2,GNPDA1,CHSY3,BGN,CHSY1,TPI1,PCK1,FBP1,FBP2,B3GAT3,B3GAT2,B3GAT1,HPSE2,SLC25A13,SLC25A12,SLC50A1,SLC25A10,DCN,B3GNT7,CALM2,CALM3,B3GNT2,B3GNT3,NDST1,NDST2,NDST3,NDST4,TKT,NDC1,PYGB,KHK,FMOD,GOT2,RPIA,GOT1,NUP210,PYGM,GUSB,B3GALT6,MAN2C1,GPI,EXT1,NUP98,HK2,HK3,SLC25A1,HK1,NUP93,SLC45A3,XYLT1,HS6ST1,TPR,NUPL2,HPSE,TREH,CSPG4,MANBA,CSPG5,PPP2CA,HYAL2,SLC2A5,NUP54,SLC2A3,SLC2A2,SLC2A1,B4GALT4,HYAL3,B4GALT7,UGP2,PGK1,HYAL1,NUP205,CHPF,NUP88,HMMR,SLC2A4,SEH1L,G6PD,HSPG2,DSEL,NUP85,G6PC3,G6PC2,B4GALT5,AKR1A1,AMY2A,SLC9A1,MGAM,MIR631,PRKACG,PC,SLC5A10,MDH1,SLC25A11,B4GALT1,CALM1,B4GALT3,B4GALT2,PGK2,PHKG2,PHKG1,PKM,XYLT2,B3GNT4,EPM2A,PPP2CB,POM121,GLYCTK,HS6ST2,GCK,SGSH,PHKA1,GCKR,PGM2,PGM1,CHST9,SLC26A1,SLC26A2,GYS2,CHST1,NCAN,CHST3,DSE,CHST5,CHST7,CHST6,BCAN,GYS1,LCT,GALK1,MIR4647,SDC1,SDC2,SDC3,G6PC,TKFC,NUP153,B4GAT1,SLC35B3,SLC35B2,HS3ST3B1,NUP155,HS6ST3,PPP2R5D,AMY1A,AMY1C,FGF21,NUP133,PPP2R1A,ACAN,SLC2A14,HS3ST5,HS3ST2,CEMIP,PGAM2,NUP43,PGAM1,LUM,HEXB,PKLR,CHST2,NUP62,HS3ST1,CSGALNACT2,TALDO1,SDC4,DCXR,PRELP,CSGALNACT1,RANBP2,GALT,NUP107,CHP1,NAGLU,B4GALT6,GAPDH,SORD,ENO1,ENO2,ENO3,GLCE,AKR1B1,IDUA,MIR671,NUP50,PFKP,OMD,PYGL,NUP58,PGLS,GLB1,HEXA,SI,SLC5A3,PRKACA,RSC1A1,PRKACB,SLC35D2,XYLB,GNS,PPP2R1B,HS3ST4,IDS,LALBA,BPGM,STAB2,HS2ST1,CHPF2,VCAN,AGRN,SLC5A1,SLC5A2,UST,SLC5A4,MDH2,ADPGK,SLC5A9,GYG1,ALDH1A1,DERA,GYG2,PAPSS1,PGD,PAPSS2,PRPS2,SLC37A4,PRPS1,CHIT1,HS3ST3A1,PHKA2,PHKB,NUP188,CRYL1,PFKM,PFKL,RPE,GBE1,PPP1R3C,GAA,KERA,ST3GAL3,ST3GAL2,ST3GAL1,ST3GAL6,AMY2B,ST3GAL4,PRPS1L1,CD44,NUP160,GLB1L,GAPDHS,HS3ST6,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,ALDOA,ALDOC,ALDOB,CHST11,CHST13,CHST12,CHST15,CHST14,ARSB,GALE,PFKFB1,PFKFB3,PFKFB2,NUP35,PFKFB4,NUP37,EXT2,OGN,NUP214,ABCC5,AMY1B,RAE1"
BMP2 signaling TAK1	None	INOH	"MAPK14,XIAP,BMP2,MAP2K6,SMAD6,MAP3K7,MAP2K3,BMPR1A,BMPR1B,BMPR2,MAPK11,MAPK12,MAPK13,TAB1,ATF2"
Gap-filling DNA repair synthesis and ligation in GG-NER	R-HSA-5696397	Reactome	"RFC5,RFC4,RPS27A,RFC1,RFC3,RFC2,POLE,XRCC1,POLK,POLD1,POLD2,POLD3,POLD4,LIG1,LIG3,PCNA,RPA1,RPA3,RPA2,UBA52,POLE4,POLE3,POLE2,UBB,UBC"
Global Genome Nucleotide Excision Repair (GG-NER)	R-HSA-5696399	Reactome	"INO80,MIR6764,COPS8,RPA1,RAD23B,UBC,RAD23A,SUMO1,ERCC1,SUMO3,RPS27A,COPS6,ERCC5,RFC3,COPS5,POLE,MCRS1,RFC5,XRCC1,YY1,UBE2V2,POLK,INO80D,CUL4B,RFC2,GPS1,RUVBL1,CHD1L,POLD1,USP45,NFRKB,TFPT,COPS7B,ERCC3,CETN2,ERCC4,COPS2,POLD2,PIAS1,GTF2H3,LIG1,LIG3,DDB2,POLD4,GTF2H1,DDB1,ERCC2,COPS4,POLE2,PCNA,SUMO2,RFC1,XPC,GTF2H2,XPA,CDK7,PARP1,PARP2,GTF2H4,GTF2H5,RBX1,COPS3,MNAT1,INO80E,INO80B,INO80C,COPS7A,UBE2I,ACTB,UBE2N,RFC4,RPA3,RPA2,CUL4A,PIAS3,UBA52,POLE4,POLE3,ACTL6A,UBB,ACTR8,POLD3,ACTR5,CCNH,RNF111"
RNA Polymerase I Promoter Opening	R-HSA-73728	Reactome	"HIST1H4C,HIST1H4B,HIST1H4A,HIST2H3A,HIST1H4E,HIST1H4D,HIST1H2AK,HIST1H4J,HIST1H4I,HIST1H4H,HIST1H3I,HIST1H4L,HIST1H2BL,HIST2H2BE,HIST1H2AJ,HIST1H2AE,HIST1H2AD,HIST2H4B,HIST1H3H,HIST1H2AC,HIST1H4F,HIST4H4,UBTF,H2AFB1,HIST2H2AC,MAPK3,HIST1H2BC,H3F3B,HIST1H2BG,HIST2H2AA3,HIST2H2AA4,H2BFS,HIST2H3C,H3F3A,HIST1H2BD,HIST1H3C,HIST1H2BF,HIST1H3A,HIST1H3F,HIST1H3G,HIST1H2BB,HIST1H3E,HIST1H3J,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST1H2BH,HIST1H2BI,HIST1H2BJ,HIST1H2BK,HIST1H3B,H2AFV,HIST1H2AB,MIR4738,H2AFX,H2AFZ,HIST2H3D,HIST2H4A,HIST1H4K,MBD2,HIST1H3D,HIST3H2BB,HIST1H2BE,H2AFJ,HIST1H2BA"
Rapid glucocorticoid signaling	rapid_gr_pathway	PID	"GNAS,GNB1,MAPK14,GNG2,MAPK11,GNAL,MAPK8,MAPK9"
glutamate removal from folates	PWY-2161B	HumanCyc	GGH
Ceramide signaling pathway	ceramide_pathway	PID	"SPHK2,MYC,MAP4K4,BAG4,NFKBIA,BIRC3,BAX,RIPK1,AKT1,MAP2K1,SMPD1,TRADD,SMPD3,MAP2K4,CASP8,NSMAF,RAF1,EGF,MADD,ASAH1,BID,MAP3K1,RB1,CRADD,MAPK3,MAPK1,FADD,KSR1,RELA,PRKRA,PDGFA,TRAF2,IGF1,CTSD,PRKCD,TNF,CYCS,NFKB1,PAWR,MAPK8,TNFRSF1A,EIF2AK2,BAD,EIF2A,MAP2K2,PRKCZ,AIFM1,BCL2"
Trafficking and processing of endosomal TLR	R-HSA-1679131	Reactome	"TLR9,CTSL,LGMN,CTSB,HSP90B1,TLR3,CTSK,CNPY3,TLR7,UNC93B1,TLR8,CTSS,CTSV,MIR3652"
Toll-Like Receptors Cascades	R-HSA-168898	Reactome	"AGER,CD36,IKBKB,IKBKG,IKBKE,MIR718,S100A12,LBP,MAP3K8,CTSS,MAP3K1,MAP3K7,PIK3R4,CNPY3,FADD,IRAK2,IRAK3,RELA,IRAK1,CUL1,FGB,DHX9,CTSK,CTSL,VRK3,CTSB,DUSP7,CREB1,TNIP2,LY96,PIK3C3,CTSV,TLR10,SOCS1,PPP2CA,PTPN11,PPP2CB,TLR2,TLR3,UBA52,TMEM189-UBE2V1,TLR6,TLR7,TLR4,TLR5,TLR8,TLR9,APP,FBXW11,NFKBIB,NFKBIA,UBE2D2,UBE2D3,SAA1,UBE2D1,ITGB2,DNM1,DNM3,DNM2,UNC93B1,MAPKAPK3,MAPKAPK2,DHX36,LY86,TANK,TIRAP,JUN,ELK1,TMEM189,MYD88,FGG,UBB,FOS,UBC,CHUK,ECSIT,SARM1,PTPN4,IRF3,RPS6KA1,RPS6KA2,RPS6KA3,IRF7,TBK1,LGMN,UBE2N,SKP1,MEF2C,MEF2A,TLR1,ITGAM,SIGIRR,PPP2R5D,BTK,MAPK14,MAPK10,MAPK11,TICAM1,TICAM2,PELI1,PELI3,PELI2,MAPK3,MAPK1,S100A9,S100A8,DUSP4,NFKB2,MAPK9,S100A1,DUSP3,MAPK7,RPS27A,HSP90B1,NFKB1,UBE2V1,CD180,MAPK8,RPS6KA5,RIPK1,DUSP6,RBSN,RIPK3,FGA,IRAK4,MAP2K6,PPP2R1A,PPP2R1B,BPI,HMGB1,BIRC3,BIRC2,MAP2K3,PLCG2,MAP2K1,RIPK2,MAP2K7,MIR3652,MAP2K4,S100B,MIR6502,EEA1,CD14,NOD1,NOD2,TRAF3,TRAF6,APOB,TAB3,TAB2,TAB1,BTRC,CASP8,ATF1,ATF2"
Class II GLUTs	R-HSA-428776	Reactome	"SLC2A7,SLC2A5,SLC2A9,SLC2A11"
Melanin biosynthesis	R-HSA-5662702	Reactome	"TYRP1,DCT,SLC45A2,TYR,OCA2"
Post-Elongation Processing of Intron-Containing pre-mRNA	R-HSA-112296	Reactome	"MIR636,MAGOHB,NCBP1,NCBP2,CSTF1,SYMPK,POLDIP3,DHX38,FYTTD1,SRSF11,CPSF7,NUDT21,MIR1234,CPSF3,CPSF2,CPSF1,SRSF5,SRSF4,SRSF7,CPSF4,SRSF1,RBM8A,SRSF3,UPF3B,U2AF1,DDX39A,U2AF2,SRSF9,PAPOLA,PCF11,DNAJC14,FIP1L1,SRSF6,MAGOH,PABPN1,RNPS1,MIR6866,CHTOP,ALYREF,DDX39B,LUZP4,U2AF1L4,U2AF1L5,MIR6849,THOC3,THOC2,THOC1,THOC7,THOC6,THOC5,MIR939,CASC3,ZC3H11A,SRRM1,SRSF2,CSTF2T,SLU7,CSTF3,CSTF2,CLP1,SARNP,WDR33,CDC40,EIF4A3"
Serine biosynthesis	R-HSA-977347	Reactome	"PSPH,SERINC5,SERINC4,SERINC1,SERINC3,SERINC2,PSAT1,PHGDH"
Signaling by EGFRvIII in Cancer	R-HSA-5637812	Reactome	"SHC1,SOS1,PIK3CA,HRAS,NRAS,EGFR,GAB1,PLCG1,GRB2,MIR1181,PIK3R1,HSP90AA1,CDC37,EGF,KRAS"
Signaling by EGFR in Cancer	R-HSA-1643713	Reactome	"SHC1,SOS1,PIK3CA,HRAS,NRAS,EGFR,CBL,GAB1,PLCG1,GRB2,MIR1181,PIK3R1,HSP90AA1,CDC37,EGF,KRAS"
Mitochondrial tRNA aminoacylation	R-HSA-379726	Reactome	"SARS2,FARS2,EARS2,PARS2,MIR6878,MIR6890,CARS2,DARS2,PPA2,RARS2,LARS2,KARS,IARS2,WARS2,MARS2,VARS2,AARS2,TARS2,NARS2,YARS2,QARS,GARS,HARS2"
tRNA Aminoacylation	R-HSA-379724	Reactome	"SARS2,FARS2,VARS,PARS2,DARS,MIR6758,MIR6890,AIMP2,AIMP1,CARS2,IARS,PPA2,NARS,PPA1,LARS2,HARS,KARS,IARS2,EARS2,WARS2,MARS2,EPRS,VARS2,RARS,YARS,NARS2,AARS2,TARS2,MIR6878,CARS,WARS,YARS2,QARS,GARS,LARS,AARS,FARSB,FARSA,DARS2,MARS,TARS,SARS,HARS2,EEF1E1,RARS2"
Signaling by cytosolic FGFR1 fusion mutants	R-HSA-1839117	Reactome	"ZMYM2,FGFR1OP2,STAT3,LRRFIP1,STAT1,STAT5B,TRIM24,PIK3CA,CUX1,GAB2,MYO18A,STAT5A,GRB2,FGFR1OP,PIK3R1,CPSF6,CNTRL,BCR"
reactive oxygen species degradation	DETOX1-PWY-1	HumanCyc	"SOD2,SOD3,SOD1,CAT,GPX1,GPX3,GPX2,GPX5,GPX7,GPX6,GPX8"
Signaling by plasma membrane FGFR1 fusions	R-HSA-8853336	Reactome	"BAG4,ERLIN2,FGFR1"
FGFR1 mutant receptor activation	R-HSA-1839124	Reactome	"FGFR1OP2,BAG4,GAB2,MYO18A,CPSF6,BCR,STAT3,STAT1,PIK3CA,PIK3R1,FGF17,ZMYM2,TRIM24,CUX1,FGFR1OP,FGF9,FGF8,FGF6,FGF5,FGF4,FGF2,FGF1,FGFR1,LRRFIP1,ERLIN2,STAT5B,STAT5A,GRB2,CNTRL,FGF23,FGF20"
Signaling by FGFR1 in disease	R-HSA-5655302	Reactome	"FGFR1OP2,FRS2,BAG4,HRAS,GAB2,GAB1,MYO18A,PLCG1,CPSF6,BCR,STAT3,STAT1,PIK3CA,NRAS,SOS1,PIK3R1,KRAS,FGF17,ZMYM2,TRIM24,CUX1,FGFR1OP,FGF9,FGF8,FGF6,FGF5,FGF4,FGF2,FGF1,FGFR1,LRRFIP1,ERLIN2,STAT5B,STAT5A,GRB2,CNTRL,FGF23,FGF20"
Peroxisomal lipid metabolism	R-HSA-390918	Reactome	"PECR,AGPS,HACL1,CROT,SCP2,ACOXL,SLC25A17,ALDH3A2,ACAA1,ABCD1,SLC27A2,HSD17B4,CRAT,IDH1,NUDT7,AMACR,ACOT8,GNPAT,NUDT19,EHHADH,PHYH,MLYCD,ACOX2,ACOX3,ACOX1,ECI2,ACBD5,ACBD4,HAO2"
Axonal growth inhibition (RHOA activation)	R-HSA-193634	Reactome	"OMG,LINGO1,RTN4,ARHGEF1,NGFR,MAG,ARHGDIA,RHOA"
uracil degradation	PWY-3982	HumanCyc	"UPB1,DPYS,DPYD"
Ras activation uopn Ca2+ infux through NMDA receptor	R-HSA-442982	Reactome	"ACTN2,CALM2,RASGRF1,RASGRF2,CALM1,CAMK2D,NEFL,HRAS,CAMK2G,CAMK2A,CAMK2B,AKAP9,GRIN2B,GRIN2C,GRIN2A,GRIN2D,GRIN1,CALM3,DLG4"
E-cadherin signaling in the nascent adherens junction	ecadherin_nascentaj_pathway	PID	"CTTN,KLHL20,CYFIP2,ENAH,AP1M1,RAP1B,RAP1A,CTNNB1,AKT1,RAPGEF1,CTNND1,CRK,IQGAP1,NCKAP1,DLG1,WASF2,PIK3CA,ARF6,VAV2,TIAM1,JUP,PIK3R1,CDH1,SRC,ITGB7,RAC1,RHOA,CTNNA1,TJP1,NME1,CCND1,AFDN,ABI1,PIP5K1C,ITGAE,CDC42"
Scavenging of heme from plasma	R-HSA-2168880	Reactome	"LRP1,HP,AMBP,CD163,ALB,HBB,HPX,HPR,HBA1,HBA2,APOA1,APOL1"
Deadenylation of mRNA	R-HSA-429947	Reactome	"PABPC1,PAN3,PAN2,CNOT9,CNOT8,PARN,MIR7705,CNOT2,CNOT1,CNOT7,CNOT6,CNOT4,MIR1248,CNOT11,CNOT10,CNOT3,TNKS1BP1,EIF4E,EIF4B,CNOT6L,EIF4G1,PAIP1,EIF4A1,EIF4A3,EIF4A2"
RSK activation	R-HSA-444257	Reactome	"RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA6,MAPK1,PDPK1"
CREB phosphorylation through the activation of Ras	R-HSA-442742	Reactome	"RPS6KA6,HRAS,RRAS,RAF1,CALM2,DLG4,CALM1,NEFL,MAPK1,GRIN1,RPS6KA1,CAMK2D,CAMK2G,CAMK2A,CAMK2B,CREB1,CALM3,ACTN2,RPS6KA2,RPS6KA3,RASGRF1,RASGRF2,AKAP9,GRIN2B,GRIN2C,GRIN2A,BRAF,GRIN2D,PDPK1"
Scavenging by Class H Receptors	R-HSA-3000497	Reactome	"APOB,SPARC,STAB1,STAB2"
Binding and Uptake of Ligands by Scavenger Receptors	R-HSA-2173782	Reactome	"CALR,STAB1,STAB2,HP,SAA1,HBB,MIR3652,COL3A1,APOA1,MSR1,MARCO,APOB,HSPH1,HYOU1,AMBP,SPARC,COL1A2,FTH1,APOL1,HPX,HPR,CD36,COLEC11,APOE,COL4A2,COL4A1,HBA1,HBA2,FTL,MIR3606,LRP1,SCARF1,HSP90B1,SCARB1,SCARA5,ALB,MASP1,SCGB3A2,COLEC12,COL1A1,HSP90AA1,CD163"
NOD1/2 Signaling Pathway	R-HSA-168638	Reactome	"ITCH,BIRC3,BIRC2,MAPK14,RIPK2,TNFAIP3,MAPK12,MAPK13,MIR718,MAP3K7,MAPK11,CARD9,NOD1,NOD2,IRAK2,TMEM189,IRAK1,TRAF6,MAP2K6,CHUK,UBE2V1,IKBKB,CASP4,CASP2,UBE2N,TAB3,TAB2,TAB1,CASP1,CASP8,CASP9,TMEM189-UBE2V1,CYLD,IKBKG"
Inflammasomes	R-HSA-622312	Reactome	"BCL2L1,TXN,SUGT1,NLRP1,NLRP3,CASP1,AIM2,HSP90AB1,TXNIP,MEFV,NLRC4,PYCARD,PSTPIP1,P2RX7,BCL2"
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways"	R-HSA-168643	Reactome	"BCL2L1,ITCH,BIRC3,BIRC2,IKBKB,TXNIP,RIPK2,IKBKG,MAPK12,MAPK13,NLRC4,CASP8,PSTPIP1,MIR718,P2RX7,TXN,SUGT1,NLRP1,NLRP3,MAP3K7,MAPK11,HSP90AB1,CARD9,NOD1,NOD2,IRAK2,PYCARD,TMEM189,IRAK1,TRAF6,MAP2K6,CHUK,AIM2,UBE2V1,MAPK14,CASP4,CASP2,UBE2N,TAB3,TAB2,TAB1,CASP1,TNFAIP3,CASP9,MEFV,TMEM189-UBE2V1,CYLD,BCL2"
Dectin-2 family	R-HSA-5621480	Reactome	"CLEC10A,PLCG2,MUC20,MUC21,MUC5B,MUC3A,FCER1G,MUC3B,FYN,LYN,MUC2,MUC1,MUC7,MUC6,MUC4,MUC19,MUC5AC,MUC16,MUC15,MUC13,MUC12,CLEC6A,SYK,CLEC4E,CLEC4D,CLEC4C,MUCL1,CLEC4A,MUC17"
Signaling by FGFR2 IIIa TM	R-HSA-8851708	Reactome	"FGFR2,FGF2,FGF1"
Gamma-carboxylation of protein precursors	R-HSA-159740	Reactome	"F2,GGCX,PROZ,F7,F9,PROS1,BGLAP,F10,PROC,GAS6"
Prostacyclin signalling through prostacyclin receptor	R-HSA-392851	Reactome	"GNG12,PTGIR,GNAS,GNB5,GNB1,GNG10,GNG11,GNB3,GNG13,GNG7,GNG4,GNG5,GNG2,GNG3,GNGT1,GNB4,GNB2,GNG8,GNGT2"
Signaling by FGFR2 fusions	R-HSA-8853333	Reactome	FGFR2
FGFR2 mutant receptor activation	R-HSA-1839126	Reactome	"FGF10,FGF16,FGF17,FGF22,FGF2,FGFR2,FGF18,FGF20,FGF9,FGF8,FGF7,FGF6,FGF5,FGF4,FGF3,FGF23,FGF1"
Signaling by FGFR2 in disease	R-HSA-5655253	Reactome	"FRS2,HRAS,GAB1,PLCG1,FGFR2,NRAS,FGF18,PIK3R1,FGF10,FGF17,FGF16,FGF9,FGF8,FGF7,FGF6,FGF5,FGF4,FGF3,FGF2,FGF1,KRAS,SOS1,GRB2,PIK3CA,FGF22,FGF23,FGF20"
Recycling of bile acids and salts	R-HSA-159418	Reactome	"NCOA2,SLC10A2,SLC10A1,NCOA1,ALB,BAAT,RXRA,SLCO1B3,SLCO1B1,SLC27A5,ABCB11,SLCO1A2,NR1H4,STARD5,FABP6,ABCC3"
Bile acid and bile salt metabolism	R-HSA-194068	Reactome	"SLCO1A2,BAAT,SCP2,FABP6,SLC27A5,SLCO1B3,AKR1C4,AKR1C1,AKR1C2,AKR1C3,NCOA2,SLC10A2,SLC10A1,NCOA1,CYP46A1,CYP39A1,NR1H4,CYP7A1,HSD17B4,RXRA,PTGIS,AMACR,ABCB11,OSBPL9,ACOT8,ABCC3,OSBPL2,OSBPL3,OSBPL6,OSBPL7,SLC27A2,SLCO1B1,CYP7B1,OSBPL1A,ACOX2,CYP8B1,AKR1D1,CYP27A1,HSD3B7,ALB,CH25H,OSBP,STARD5"
Metabolism of steroid hormones	R-HSA-196071	Reactome	"HSD17B12,STAR,HSD17B14,SRD5A1,CYP17A1,FDXR,CYP11A1,AKR1B15,CGA,SRD5A3,HSD17B1,HSD17B2,HSD17B3,HSD11B2,HSD11B1,LHB,CYP21A2,CYP11B2,AKR1B1,STARD3NL,CYP19A1,SRD5A2,POMC,HSD3B1,HSD3B2,FDX2,STARD3,CYP11B1,FDX1,STARD6,STARD4"
S1P2 pathway	s1p_s1p2_pathway	PID	"MIR197,GNAO1,MAPK14,GNAI2,GNAI3,GNAI1,S1PR2,RAC1,JUN,MAPK3,ELK1,PIK3R1,MAPK8,CDH5,FOS,PIK3CA,RHOA,GNAQ,IRS1,GNAZ,GNA14,GNA15,GNA12,GNA13,GNA11,MAPK1,PAK1"
"mRNA decay by 3, to 5, exoribonuclease"	R-HSA-429958	Reactome	"DCPS,DIS3,EXOSC1,EXOSC9,MIR6847,NT5C3B,WDR61,EXOSC8,SKIV2L,TTC37,EXOSC2,EXOSC3,HBS1L,EXOSC6,EXOSC7,EXOSC4,EXOSC5"
cadmium induces dna synthesis and proliferation in macrophages	cdmacpathway	BioCarta	"PLCB1,PRKCB,MAP2K2,PRKCA,HRAS,NFKBIA,JUN,MAPK3,MAP2K1,TNF,MAPK1,RELA,FOS,RAF1,MYC,CUZD1"
malate-aspartate shuttle	MALATE-ASPARTATE-SHUTTLE-PWY	HumanCyc	"GOT2,GOT1,GOT1L1,MDH2,MDH1"
tryptophan degradation	TRYPTOPHAN-DEGRADATION-1	HumanCyc	"IDO2,KYNU,KMO,AFMID,DHTKD1,IDO1,HAAO,ACMSD,TDO2"
Role of Abl in Robo-Slit signaling	R-HSA-428890	Reactome	"CLASP2,CLASP1,ROBO1,CAP1,CAP2,GPC1,SLIT2,ABL1,ABL2"
"Unblocking of NMDA receptor, glutamate binding and activation"	R-HSA-438066	Reactome	"ACTN2,GRIA1,DLG4,GRIA2,GRIA3,CAMK2G,CAMK2A,GRIA4,AKAP9,GRIN2B,GRIN2C,GRIN2A,CAMK2B,GRIN2D,NEFL,CAMK2D,GRIN1"
Regulation of pyruvate dehydrogenase (PDH) complex	R-HSA-204174	Reactome	"PDHX,PDHA1,PDPR,PDP2,DLD,PDK3,RXRA,PDK1,PDP1,PPARD,PDK2,PDK4,DLAT,PDHB"
Import of palmitoyl-CoA into the mitochondrial matrix	R-HSA-200425	Reactome	"CPT1A,CPT2,CPT1B,PRKAB2,PRKAA2,PRKAG2,SLC25A20,RXRA,PPARD,THRSP,MID1IP1,CHKB"
Removal of aminoterminal propeptides from gamma-carboxylated proteins	R-HSA-159782	Reactome	"F2,PROZ,F7,F9,PROS1,BGLAP,F10,GAS6,PROC,FURIN"
"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins"	R-HSA-159854	Reactome	"F2,GGCX,PROZ,F7,F9,PROS1,BGLAP,F10,GAS6,PROC,FURIN"
AlphaE beta7 integrin cell surface interactions	integrin7_pathway	PID	"CDH1,ITGAE,ITGB7"
TNFs bind their physiological receptors	R-HSA-5669034	Reactome	"TNFSF13,MIR7846,TNFSF11,CD70,TNFRSF25,TNFSF15,TNFSF14,TNFSF18,TNFRSF17,TNFRSF14,TNFRSF18,TNFSF13B,TNFSF9,TNFSF8,TNFRSF8,TNFRSF9,TNFRSF4,TNFRSF6B,TNFSF4,EDARADD,CD27,LTA,FASLG,TNFRSF11B,TNFRSF13B,EDA2R,EDA,TNFRSF1B,TNFRSF1A,EDAR"
CREB phosphorylation through the activation of CaMKII	R-HSA-442729	Reactome	"ACTN2,CALM2,DLG4,CALM1,CAMK2D,NEFL,CAMK2G,CAMK2A,CAMK2B,AKAP9,GRIN2B,GRIN2C,GRIN2A,CREB1,GRIN2D,GRIN1,CALM3"
Post NMDA receptor activation events	R-HSA-438064	Reactome	"RPS6KA6,CAMKK1,HRAS,RRAS,RAF1,DLG4,CALM2,CALM3,CALM1,NEFL,CAMK4,MAPK1,GRIN1,RPS6KA1,CAMK2D,CAMK2G,CAMK2A,CAMK2B,CREB1,RASGRF1,ACTN2,RPS6KA2,RPS6KA3,ADCY1,RASGRF2,ADCY3,ADCY8,AKAP9,GRIN2B,GRIN2C,PRKACG,GRIN2A,PRKACA,BRAF,GRIN2D,PRKACB,PDPK1"
Activation of NMDA receptor upon glutamate binding and postsynaptic events	R-HSA-442755	Reactome	"RPS6KA6,GRIA2,GRIA3,HRAS,GRIA1,GRIA4,RRAS,RAF1,DLG4,CALM2,CALM3,CALM1,NEFL,CAMK4,CAMKK1,MAPK1,GRIN1,RPS6KA1,CAMK2D,CAMK2G,CAMK2A,CAMK2B,CREB1,RASGRF1,ACTN2,RPS6KA2,RPS6KA3,ADCY1,RASGRF2,ADCY3,ADCY8,AKAP9,GRIN2B,GRIN2C,PRKACG,GRIN2A,PRKACA,BRAF,GRIN2D,PRKACB,PDPK1"
IFN alpha signaling	None	INOH	"IFNA8,STAT3,STAT2,STAT1,IFNA2,IFNA1,IFNA21,IFNA7,IFNA6,IFNA5,IFNA4,IFNAR2,IFNAR1,IRF9,JAK1,IFNA13,TYK2,IFNA10,IFNA17,IFNA16,IFNA14"
