ComplexName	GO description	FunCat description	subunits(Gene name)
BRCA1-CtIP-CtBP complex	DNA repair;transcriptional control;DNA damage response;nucleus	"DNA repair;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;cellular response to DNA damage stimulus;nucleus"	BRCA1;CTBP1;RBBP8;
BRCA1-VCP complex	DNA repair;nucleus	DNA repair;nucleus	BRCA1;VCP;
hSIR2-p53 complex	"transcriptional control;modification by acetylation, deacetylation;DNA damage response;nucleus"	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;cellular response to DNA damage stimulus;nucleus"	TP53;SIRT1;
BRCA1-BARD1-UbcH5c complex	"modification by ubiquitination, deubiquitination;DNA damage response;nucleus"	protein ubiquitination;protein deubiquitination;cellular response to DNA damage stimulus;nucleus	BRCA1;UBE2D3;BARD1;
BRCA1-BARD1-UbcH7c complex	"modification by ubiquitination, deubiquitination;DNA damage response;nucleus"	protein ubiquitination;protein deubiquitination;cellular response to DNA damage stimulus;nucleus	BRCA1;UBE2L3;BARD1;
BRCA1-RAD51 complex	"DNA repair;DNA recombination;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);nucleus"	DNA repair;DNA recombination;cell cycle checkpoint;nucleus	BRCA1;RAD51;
BRCA1-RNA polymerase II complex	TRANSCRIPTION;DNA binding;nucleus	"transcription, DNA-templated;DNA binding;nucleus"	POLR2D;GTF2F2;ERCC2;POLR2C;POLR2E;ERCC3;TBP;POLR2A;GTF2E1;GTF2E2;POLR2B;GTF2H1;GTF2F1;POLR2I;BRCA1;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L;GTF2B;MED21;GTF2H2;GTF2H3;GTF2H4;
ITGB3-ITGAV-VTN complex	REGULATION OF METABOLISM AND PROTEIN FUNCTION;cell migration	regulation of biological process;cell migration	VTN;ITGB3;ITGAV;
RSmad complex	transcriptional control;TGF-beta-receptor signalling pathway;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;transforming growth factor beta receptor signaling pathway;nucleus"	SMARCA4;SMAD3;SMAD4;SMAD2;ARID1B;SMARCC2;CREBBP;SMARCC1;TRIM33;NCOA3;
TIF1gamma-SMAD2-SMAD3 complex	transcriptional control;TGF-beta-receptor signalling pathway;hemopoiesis;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;transforming growth factor beta receptor signaling pathway;hemopoiesis;nucleus"	SMAD3;SMAD2;TRIM33;
TIF1gamma-Smad2-Smad3 complex	transcriptional control;TGF-beta-receptor signalling pathway;hemopoiesis;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;transforming growth factor beta receptor signaling pathway;hemopoiesis;nucleus"	SMAD2;SMAD3;TRIM33;
Smad4-Smad2-Smad3 complex	transcriptional control;TGF-beta-receptor signalling pathway;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;transforming growth factor beta receptor signaling pathway;nucleus"	SMAD4;SMAD2;SMAD3;
SRm160-SRm300 complex	splicing;RNA binding;nuclear matrix	RNA splicing;RNA binding;nuclear matrix	SRRM1;SRRM2;
SMAD4-SMAD2-SMAD3 complex	transcriptional control;TGF-beta-receptor signalling pathway;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;transforming growth factor beta receptor signaling pathway;nucleus"	SMAD3;SMAD4;SMAD2;
ATRX-DAXX complex	phosphate metabolism;DNA conformation modification (e.g. chromatin);transcriptional control;organization of chromosome structure;nucleus	"phosphorus utilization;phosphate-containing compound metabolic process;DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;chromosome organization;nucleus"	ATRX;DAXX;
uKHC-KLC1-KLC2 kinesin complex	tubulin dependent transport;animal specific systemic sensing and response;microtubule cytoskeleton	microtubule-based movement;response to stimulus;microtubule cytoskeleton	KLC1;KLC2;KIF5B;
DAXX-Axin-p53-HIPK2 complex	"phosphate metabolism;transcriptional control;modification by phosphorylation, dephosphorylation, autophosphorylation;electromagnetic waves stress response (e.g. UV, X-ray);apoptosis (type I programmed cell death);nucleus"	"phosphorus utilization;phosphate-containing compound metabolic process;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein phosphorylation;protein dephosphorylation;protein autophosphorylation;response to radiation;apoptotic process;nucleus"	AXIN1;TP53;HIPK2;DAXX;
Axin-p53-HIPK2 complex	"transcriptional control;electromagnetic waves stress response (e.g. UV, X-ray);apoptosis (type I programmed cell death);nucleus"	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;response to radiation;apoptotic process;nucleus"	AXIN1;TP53;HIPK2;
BAX-BAK-IRE1alpha complex	stress response;induction of apoptosis by intracellular signals;endoplasmic reticulum	response to stress;intrinsic apoptotic signaling pathway;endoplasmic reticulum	BAK1;BAX;ERN1;
ITGAV-ITGB3-THBS1 complex	protein binding	protein binding	ITGB3;ITGAV;THBS1;
"ING4 complex (ING4, MYST2, C1orf149, PHF15)"	mitotic cell cycle;mitotic cell cycle and cell cycle control;angiogenesis	mitotic cell cycle;regulation of cell cycle;angiogenesis	KAT7;MEAF6;JADE2;ING4;
"ING4 complex (ING4, MYST2, C1orf149, PHF16)"	mitotic cell cycle;mitotic cell cycle and cell cycle control;angiogenesis	mitotic cell cycle;regulation of cell cycle;angiogenesis	KAT7;JADE3;MEAF6;ING4;
ITGAV-ITGB3-NOV complex	protein binding;cell adhesion	protein binding;cell adhesion	ITGB3;ITGAV;NOV;
ITGA5-ITGB1-FN-1-NOV complex	protein binding;cell adhesion	protein binding;cell adhesion	FN1;ITGB1;ITGA5;NOV;
ING2 complex	"DNA conformation modification (e.g. chromatin);mitotic cell cycle;mitotic cell cycle and cell cycle control;modification by acetylation, deacetylation;apoptosis (type I programmed cell death);angiogenesis;organization of chromosome structure;nucleus"	DNA topological change;mitotic cell cycle;regulation of cell cycle;protein acetylation;protein deacetylation;apoptotic process;angiogenesis;chromosome organization;nucleus	SAP30;ARID4A;RBBP4;HDAC1;RBBP7;BRMS1L;HDAC2;SIN3A;SAP130;ING2;SUDS3;BRMS1;
Brg1-based SWI/SNF chromatin remodeling complex	DNA conformation modification (e.g. chromatin);mitotic cell cycle;mitotic cell cycle and cell cycle control;transcriptional control	"DNA topological change;mitotic cell cycle;regulation of cell cycle;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated"	ACTL6A;SMARCB1;SMARCC2;SMARCC1;
ITGA5-ITGB1-CAL4A3 complex	kinase inhibitior	negative regulation of protein kinase activity;kinase inhibitor activity	ITGB1;ITGA5;COL18A1;
PI3-kinase p85-subunit beta- PI3-kinase p110 complex	"modification by phosphorylation, dephosphorylation, autophosphorylation"	protein phosphorylation;protein dephosphorylation;protein autophosphorylation;phosphatidylinositol-mediated signaling	PIK3R2;PIK3CA;
HBO1 complex	mitotic cell cycle;mitotic cell cycle and cell cycle control;apoptosis (type I programmed cell death)	mitotic cell cycle;regulation of cell cycle;apoptotic process	KAT7;JADE1;ING5;JADE3;MEAF6;JADE2;ING4;
ING5 complex	mitotic cell cycle;mitotic cell cycle and cell cycle control;apoptosis (type I programmed cell death)	mitotic cell cycle;regulation of cell cycle;apoptotic process	KAT7;BRD1;BRPF1;JADE1;KAT6B;ING5;JADE3;KAT6A;MEAF6;JADE2;BRPF3;
DSIF complex (DRB sensitivity-inducing factor complex)	transcription elongation;transcription repression;regulation by binding / dissociation;protein binding;enzymatic activity regulation / enzyme regulator;nucleus	"DNA-templated transcription, elongation;negative regulation of transcription, DNA-templated;regulation of binding;protein binding;enzyme regulator activity;regulation of catalytic activity;nucleus"	SUPT5H;SUPT4H1;
Serine-palmitoyltransferase (SPT) complex	sphingolipid metabolism;enzyme activator	sphingolipid metabolic process;positive regulation of catalytic activity;enzyme activator activity	SPTLC1;SPTLC2;SPTLC3;
TEAD2-YAP DNA-protein complex	transcription activation;DNA binding;nucleus	"positive regulation of transcription, DNA-templated;DNA binding;nucleus"	YAP1;TEAD2;
TEAD1-YAP DNA-protein complex	transcription activation;DNA binding;nucleus	"positive regulation of transcription, DNA-templated;DNA binding;nucleus"	TEAD1;YAP1;
TEAD3-YAP DNA-protein complex	transcription activation;DNA binding;nucleus	"positive regulation of transcription, DNA-templated;DNA binding;nucleus"	YAP1;TEAD3;
TEAD4-YAP DNA-protein complex	transcription activation;DNA binding;nucleus	"positive regulation of transcription, DNA-templated;DNA binding;nucleus"	YAP1;TEAD4;
TEAD2-multiprotein complex	transcriptional control	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated"	YAP1;TEAD2;YWHAQ;MPDZ;
ITGA2b-ITGB3-CD9-GP1b-CD47 complex	regulation by binding / dissociation;protein binding;cell adhesion;eukaryotic plasma membrane / membrane attached	regulation of binding;protein binding;cell adhesion;plasma membrane	ITGB3;GP1BA;ITGA2B;CD9;CD47;
BRD4-P-TEFb complex	phosphate metabolism;transcription elongation;transcription activation;protein modification;enzyme activator;nucleus	"phosphorus utilization;phosphate-containing compound metabolic process;DNA-templated transcription, elongation;positive regulation of transcription, DNA-templated;cellular protein modification process;positive regulation of catalytic activity;enzyme activator activity;nucleus"	CCNT1;BRD4;CDK9;
"SNARE complex (Snap25, Vamp3, Vamp2, Napa, Stx12/13)"	vesicle fusion;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	STX12;NAPA;SNAP25;VAMP3;VAMP2;
CD20-LCK-FYN-p75/80 complex	cellular signalling	signaling	LCK;FYN;MS4A1;
"SCF subcomplex (WEE1, SKP2, BTRC)"	"M phase;modification by phosphorylation, dephosphorylation, autophosphorylation;modification by ubiquitination, deubiquitination;protein/peptide degradation"	M phase;mitotic nuclear division;protein phosphorylation;protein dephosphorylation;protein autophosphorylation;protein ubiquitination;protein deubiquitination;protein catabolic process	WEE1;SKP2;BTRC;
"Ubiquitin E3 ligase (CUL1, RBX1, SKP1)"	"M phase;modification by phosphorylation, dephosphorylation, autophosphorylation;modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway)"	M phase;mitotic nuclear division;protein phosphorylation;protein dephosphorylation;protein autophosphorylation;protein ubiquitination;protein deubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process	RBX1;SKP1;CUL1;
ITGA5-ITGB3-COL6A3 complex	protein binding;cell adhesion;eukaryotic plasma membrane / membrane attached;extracellular matrix component	protein binding;cell adhesion;plasma membrane;extracellular matrix	ITGB3;ITGA5;COL6A3;
"Respiratory chain complex I (early intermediate NDUFAF1 assembly), mitochondrial"	METABOLISM;aerobic respiration;assembly of protein complexes;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane	generation of precursor metabolites and energy;aerobic respiration;protein complex assembly;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane	NDUFS7;NDUFS3;NDUFB6;MT-ND1;NDUFA6;NDUFA9;NDUFAF1;
ITGAV-ITGB1-SPP1 complex	protein binding;cell adhesion;eukaryotic plasma membrane / membrane attached	protein binding;cell adhesion;plasma membrane	ITGB1;ITGAV;SPP1;
"Respiratory chain complex I (incomplete intermediate ND1, ND2, ND3, CIA30 assembly), mitochondrial"	METABOLISM;aerobic respiration;assembly of protein complexes;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane	generation of precursor metabolites and energy;aerobic respiration;protein complex assembly;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane	MT-ND1;MT-ND2;MT-ND3;NDUFAF1;
"Shc-Egfr complex, EGF stimulated"	G-protein coupled receptor signalling pathway;EGF-receptor signalling pathway	G-protein coupled receptor signaling pathway;epidermal growth factor receptor signaling pathway	EGFR;SHC1;
"Grb2-Egfr complex, EGF stimulated"	G-protein coupled receptor signalling pathway;EGF-receptor signalling pathway	G-protein coupled receptor signaling pathway;epidermal growth factor receptor signaling pathway	GRB2;EGFR;
"Grb2-Shc complex, EGF stimulated"	G-protein coupled receptor signalling pathway;EGF-receptor signalling pathway	G-protein coupled receptor signaling pathway;epidermal growth factor receptor signaling pathway	GRB2;SHC1;
RBPJ-NOTCH1-MAML1 complex	transcription activation;DNA binding;Notch-receptor signalling pathway;nucleus	"positive regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"	NOTCH1;RBPJ;MAML1;
BCR-ABL (p185 fusion protein)-GRB2 complex	G-protein coupled receptor signalling pathway	G-protein coupled receptor signaling pathway	GRB2;N/A;
BCR-ABL (p210 fusion protein)-GRB2-SOS1 complex	cellular signalling;G-protein coupled receptor signalling pathway	signaling;G-protein coupled receptor signaling pathway	BCR/ABL FU;GRB2;SOS1;
Itga1-Itgb1-Tgm2 complex	protein binding;cell adhesion	protein binding;cell adhesion	ITGA1;ITGB1;TGM2;
SHC-GRB2 complex	cellular signalling	signaling	SHC1;GRB2;
ITGA2b-ITGB3-CD47-FAK complex	protein binding;cell adhesion	protein binding;cell adhesion	ITGB3;ITGA2B;PTK2;CD47;
"Respiratory chain complex I (intermediate I/200kD and III/250kD), mitochondrial"	METABOLISM;aerobic respiration;assembly of protein complexes;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane	generation of precursor metabolites and energy;aerobic respiration;protein complex assembly;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane	NDUFS2;NDUFS3;NDUFA9;
"PLC-gamma-1-Lab-Blnk complex, BCR stimulated"	cellular signalling;humoral response (B-cells);B-cell;eukaryotic plasma membrane / membrane attached	signaling;B cell mediated immunity;B cell differentiation;plasma membrane	PLCG1;LAT2;BLNK;
"PLC-gamma-2-Lab-Blnk complex, BCR stimulated"	cellular signalling;humoral response (B-cells);B-cell;eukaryotic plasma membrane / membrane attached	signaling;B cell mediated immunity;B cell differentiation;plasma membrane	PLCG2;LAT2;BLNK;
"Respiratory chain complex I (intermediate IV/310kD), mitochondrial"	METABOLISM;aerobic respiration;assembly of protein complexes;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane	generation of precursor metabolites and energy;aerobic respiration;protein complex assembly;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane	NDUFS2;NDUFS3;MT-ND1;NDUFA9;
"Grb2-Lab-Blnk complex, BCR stimulated"	cellular signalling;humoral response (B-cells);B-cell;eukaryotic plasma membrane / membrane attached	signaling;B cell mediated immunity;B cell differentiation;plasma membrane	GRB2;LAT2;BLNK;
"Respiratory chain complex I (intermediate V/380kD and VI/480kD), mitochondrial"	METABOLISM;aerobic respiration;assembly of protein complexes;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane	generation of precursor metabolites and energy;aerobic respiration;protein complex assembly;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane	NDUFA2;NDUFS2;NDUFS3;MT-ND1;NDUFA9;
"Respiratory chain complex I (intermediate VII/650kD), mitochondrial"	METABOLISM;aerobic respiration;assembly of protein complexes;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane	generation of precursor metabolites and energy;aerobic respiration;protein complex assembly;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane	NDUFS4;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFS3;MT-ND1;NDUFV2;NDUFA6;NDUFA9;
"Respiratory chain complex I (intermediate II/230kD), mitochondrial"	METABOLISM;aerobic respiration;assembly of protein complexes;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane	generation of precursor metabolites and energy;aerobic respiration;protein complex assembly;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane	NDUFS4;NDUFS7;NDUFV2;
RBP-Jkappa-Notch1 complex	transcription activation;DNA binding;Notch-receptor signalling pathway;nucleus	"positive regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"	NOTCH1;RBPJ;
RBP-Jkappa-SHARP complex	transcription repression;DNA binding;Notch-receptor signalling pathway;nucleus	"negative regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"	RBPJ;SPEN;
PLC-gamma-2-Syk-LAT-FcR-gamma complex	transmembrane receptor protein tyrosine kinase signalling pathways;blood coagulation	transmembrane receptor protein tyrosine kinase signaling pathway;blood coagulation;phosphatidylinositol-mediated signaling	LAT;FCGR1A;PLCG2;SYK;
PLC-gamma-2-Lyn-FcR-gamma complex	transmembrane receptor protein tyrosine kinase signalling pathways;blood coagulation	transmembrane receptor protein tyrosine kinase signaling pathway;blood coagulation;phosphatidylinositol-mediated signaling	LYN;FCGR1A;PLCG2;
SMRT-SKIP-CBF1 complex	"transcriptional control;protein targeting, sorting and translocation;protein transport;Notch-receptor signalling pathway;nucleus"	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;intracellular protein transport;protein targeting;protein transport;Notch signaling pathway;nucleus"	RBPJ;SNW1;NCOR2;
PLC-gamma-2-SLP-76 complex	transmembrane receptor protein tyrosine kinase signalling pathways;blood coagulation	transmembrane receptor protein tyrosine kinase signaling pathway;blood coagulation;phosphatidylinositol-mediated signaling	PLCG2;LCP2;
PLC-gamma-2-LAT complex	transmembrane receptor protein tyrosine kinase signalling pathways;blood coagulation	transmembrane receptor protein tyrosine kinase signaling pathway;blood coagulation;phosphatidylinositol-mediated signaling	LAT;PLCG2;
CASK-Caskin1 complex	assembly of protein complexes;synaptic transmission	protein complex assembly;synaptic transmission	CASK;CASKIN1;
CASK-Caskin1-Velis complex	assembly of protein complexes;synaptic transmission	protein complex assembly;synaptic transmission	CASK;LIN7C;CASKIN1;LIN7A;LIN7B;
Ku antigen-YY1-alphaMyHC promoter complex	transcription repression;DNA binding;nucleus	"negative regulation of transcription, DNA-templated;DNA binding;nucleus"	XRCC6;XRCC5;YY1;
SHARP-CtBP complex	transcription repression;DNA binding;Notch-receptor signalling pathway;nucleus	"negative regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"	CTBP2;CTBP1;SPEN;
"LAT-PLC-gamma-1-p85-GRB2-SOS signaling complex, C305 activated"	transmembrane receptor protein tyrosine kinase signalling pathways;animal specific systemic sensing and response	transmembrane receptor protein tyrosine kinase signaling pathway;response to stimulus;phosphatidylinositol-mediated signaling	LAT;PLCG1;PIK3R1;GRB2;SOS1;
SHARP-CtBP1-CtIP complex	transcription repression;DNA binding;Notch-receptor signalling pathway;nucleus	"negative regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"	CTBP1;SPEN;RBBP8;
Respiratory chain complex I (incomplete gamma subunit) mitochondrial	METABOLISM;aerobic respiration;assembly of protein complexes;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane	generation of precursor metabolites and energy;aerobic respiration;protein complex assembly;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane	MT-ND1;MT-ND2;MT-ND3;MT-ND4L;NDUFC1;
SHARP-CtIP-RBP-Jkappa complex	transcription repression;DNA binding;Notch-receptor signalling pathway;nucleus	"negative regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"	RBPJ;SPEN;RBBP8;
SHARP-CtBP1-CtIP-RBP-Jkappa corepressor complex	transcription repression;DNA binding;Notch-receptor signalling pathway;nucleus	"negative regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"	RBPJ;CTBP1;SPEN;RBBP8;
"PTF1-L complex (Ptf1a, Tcf12, Rbpjl)"	transcriptional control;DNA binding;embryogenesis;pancreas;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;maintenance of meristem identity;pancreas development;nucleus"	RBPJL;TCF12;PTF1A;
"PTF1-L complex (Ptf1a, Tcf4, Rbpjl)"	transcriptional control;DNA binding;embryogenesis;pancreas;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;maintenance of meristem identity;pancreas development;nucleus"	RBPJL;TCF4;PTF1A;
"PTF1-L complex (Ptf1a, Tcf3, Rbpjl)"	transcriptional control;DNA binding;embryogenesis;pancreas;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;maintenance of meristem identity;pancreas development;nucleus"	RBPJL;TCF3;PTF1A;
"PTF1 complex (Ptf1a, Tcf12, Rbpj)"	transcriptional control;DNA binding;embryogenesis;neurogenesis;pancreas;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;maintenance of meristem identity;neurogenesis;generation of neurons;pancreas development;nucleus"	RBPJ;TCF12;PTF1A;
"Ecsit complex (ECSIT, MT-CO2, GAPDH, TRAF6, NDUFAF1)"	assembly of protein complexes;mitochondrion	protein complex assembly;mitochondrion	MT-CO2;GAPDH;ECSIT;NDUFAF1;TRAF6;
PTF1-bHLH complex	transcriptional control;DNA binding;embryogenesis;pancreas;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;maintenance of meristem identity;pancreas development;nucleus"	PTF1A;TCF12;
"Ecsit complex (ECSIT, NDUFS3, TOM20)"	assembly of protein complexes;mitochondrion	protein complex assembly;mitochondrion	NDUFS3;TOMM20;ECSIT;
"Ecsit complex (ECSIT, MT-CO2, NDUFA1, MT-ND1, TRAF6, NDUFAF1)"	assembly of protein complexes;mitochondrion	protein complex assembly;mitochondrion	NDUFA1;MT-CO2;MT-ND1;ECSIT;NDUFAF1;TRAF6;
Acinar cell-specific C complex	transcription activation;embryogenesis;pancreas;nucleus	"positive regulation of transcription, DNA-templated;maintenance of meristem identity;pancreas development;nucleus"	PBX1;PDX1;MEIS2;
"Ecsit complex (ECSIT, NDUFS3, NDUFAF1)"	assembly of protein complexes;mitochondrion	protein complex assembly;mitochondrion	NDUFS3;ECSIT;NDUFAF1;
"Respiratory chain complex I (incomplete NDUFAF1 assembly), mitochondrial"	METABOLISM;aerobic respiration;assembly of protein complexes;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane	generation of precursor metabolites and energy;aerobic respiration;protein complex assembly;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane	MT-ND1;NDUFAF1;
Notch1-p56lck-PI3K complex	transcription activation;Notch-receptor signalling pathway;anti-apoptosis;T-cell	"positive regulation of transcription, DNA-templated;Notch signaling pathway;negative regulation of apoptotic process;T cell differentiation"	LCK;PIK3R1;NOTCH1;
RBP-Jkappa-RING1-KyoT2 complex	transcription repression;DNA binding;regulation by binding / dissociation;protein binding;regulator of transcription factor;Notch-receptor signalling pathway;nucleus	"negative regulation of transcription, DNA-templated;DNA binding;regulation of binding;protein binding;regulation of sequence-specific DNA binding transcription factor activity;Notch signaling pathway;nucleus"	RBPJ;RING1;FHL1;
YY1-Notch1-RBP-Jkappa complex	transcription activation;DNA binding;Notch-receptor signalling pathway;nucleus	"positive regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"	YY1;NOTCH1;RBPJ;
YY1-Notch1 complex	DNA binding;Notch-receptor signalling pathway;nucleus	DNA binding;Notch signaling pathway;nucleus	YY1;NOTCH1;
"Respiratory chain complex I (incomplete intermediate), mitochondrial"	METABOLISM;aerobic respiration;assembly of protein complexes;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane	generation of precursor metabolites and energy;aerobic respiration;protein complex assembly;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane	NDUFS4;NDUFS7;NDUFS2;NDUFS6;NDUFB8;NDUFA10;NDUFV2;NDUFS1;NDUFV1;NDUFV3;NDUFA9;
MAML1-RBP-Jkappa-Notch1 complex	transcription activation;DNA binding;Notch-receptor signalling pathway;nucleus	"positive regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"	RBPJ;NOTCH1;MAML1;
MAML1-RBP-Jkappa-Notch2 complex	transcription activation;DNA binding;Notch-receptor signalling pathway;nucleus	"positive regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"	NOTCH2;RBPJ;MAML1;
MAML1-RBP-Jkappa-Notch3 complex	transcription activation;DNA binding;Notch-receptor signalling pathway;nucleus	"positive regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"	RBPJ;NOTCH3;MAML1;
MAML1-RBP-Jkappa-Notch4 complex	transcription activation;DNA binding;Notch-receptor signalling pathway;nucleus	"positive regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus"	RBPJ;NOTCH4;MAML1;
"Respiratory chain complex I (nuclear encoded subunits), mitochondrial"	METABOLISM;aerobic respiration;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane	generation of precursor metabolites and energy;aerobic respiration;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane	NDUFA12;NDUFV2;NDUFS1;NDUFS2;NDUFS3;NDUFS6;NDUFA5;NDUFV1;NDUFV3;NDUFA10;NDUFA9;NDUFS7;NDUFS8;NDUFA8;NDUFB4;NDUFAB1;NDUFA4;NDUFB3;NDUFA6;NDUFB6;NDUFB7;NDUFB9;NDUFA2;NDUFA3;NDUFB8;NDUFB10;NDUFB2;NDUFS4;NDUFC1;NDUFA1;NDUFB1;NDUFS5;NDUFB5;NDUFC2;NDUFA7;NDUFB11;NDUFA11;NDUFA13;
Smad1-Notch1-p300-Pcaf complex	"transcription activation;modification by acetylation, deacetylation;DNA binding;regulation by binding / dissociation;protein binding;regulator of transcription factor;Notch-receptor signalling pathway;nucleus"	"positive regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;DNA binding;regulation of binding;protein binding;regulation of sequence-specific DNA binding transcription factor activity;Notch signaling pathway;nucleus"	SMAD1;NOTCH1;EP300;KAT2B;
"LCK-SLP76-PLC-gamma-1-LAT complex, pervanadate-activated"	transmembrane receptor protein tyrosine kinase signalling pathways;animal specific systemic sensing and response	transmembrane receptor protein tyrosine kinase signaling pathway;response to stimulus	LAT;LCK;PLCG1;LCP2;
"PLC-gamma-1-LAT-c-CBL complex, OKT3 stimulated"	transmembrane receptor protein tyrosine kinase signalling pathways;animal specific systemic sensing and response	transmembrane receptor protein tyrosine kinase signaling pathway;response to stimulus	LAT;PLCG1;CBL;
"LAT-GRB2 complex, Fyn-mLck(KA) or Syk kinase activated"	transmembrane receptor protein tyrosine kinase signalling pathways;animal specific systemic sensing and response	transmembrane receptor protein tyrosine kinase signaling pathway;response to stimulus	LAT;GRB2;
SMAD1-CBP complex	"DNA conformation modification (e.g. chromatin);transcription activation;modification by acetylation, deacetylation;TGF-beta-receptor signalling pathway;organization of chromosome structure;nucleus"	"DNA topological change;positive regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;transforming growth factor beta receptor signaling pathway;chromosome organization;nucleus"	SMAD1;CREBBP;
SMAD1-OAZ-HsN3 complex	transcriptional control;proteasomal degradation (ubiquitin/proteasomal pathway);DNA binding;TGF-beta-receptor signalling pathway;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"	PSMB4;OAZ1;SMAD1;
"SLP-76-PLC-gamma-1-ITK complex, alpha-TCR stimulated"	cellular signalling	signaling;phosphatidylinositol-mediated signaling	PLCG1;ITK;LCP2;
"SLP-76-PLC-gamma-1-VAV complex, alpha-TCR stimulated"	cellular signalling	signaling;phosphatidylinositol-mediated signaling	VAV1;PLCG1;LCP2;
CRK-BCAR1-DOCK1 complex	"integrin receptor signalling pathway;phagocyte response (e.g. macrophages, dendritic cells, granulocytes);regulation of apoptosis"	integrin-mediated signaling pathway;phagocytosis;regulation of programmed cell death	CRK;BCAR1;DOCK1;
"ITK-SLP-76 complex, anti-TCR stimulated"	cellular signalling;animal specific systemic sensing and response	signaling;response to stimulus;phosphatidylinositol-mediated signaling	ITK;LCP2;
ITGA9-ITGB1-ADAM1 complex	protein binding	protein binding	ITGB1;ITGA9;ADAM1A;
